Country,Country_Code,Region,CPI_2016_Rank,Average_CPI_Score,CPI_2016_Score,CPI_2015_Score,CPI_2014_Score,CPI_2013_Score,CPI_2012_Score,Income_Group,Average_Unemployment_Rate,Unemployment_Rate_2016,Unemployment_Rate_2015,Unemployment_Rate_2014,Unemployment_Rate_2013,Unemployment_Rate_2012,Currency_Unit
Germany,DEU,Europe & Central Asia,10,79.6,81,81,79,78,79,High income: OECD,5.215,5.2,5.2,5.191,5.271,5.213,Euro
Greece,GRC,Europe & Central Asia,69,41.8,44,46,43,40,36,High income: OECD,23.116,19.494,22.404,24.481,25.374,23.827,Euro
Honduras,HND,Latin America & Caribbean,123,28.8,30,31,29,26,28,Lower middle income,4.4,4.4,4.4,4.4,4.4,4.4,Honduran lempira
Hong Kong,HKG,East Asia & Pacific,15,75.6,77,75,74,75,77,High income: nonOECD,3.2642,3.207,3.207,3.207,3.302,3.398,Hong Kong dollar
Hungary,HUN,Europe & Central Asia,57,52.4,48,51,54,54,55,High income: OECD,10.4824,10.268,10.344,10.406,10.469,10.925,Hungarian forint
Iceland,ISL,Europe & Central Asia,14,79.2,78,79,79,78,82,High income: OECD,5.0184,4.134,4.389,4.795,5.666,6.108,Iceland krona
Indonesia,IDN,East Asia & Pacific,90,34.2,37,36,34,32,32,Lower middle income,5.79,5.15,5.5,6,6.1,6.2,Indonesian rupiah
Iran,IRN,Middle East & North Africa,131,27.2,29,27,27,25,28,Upper middle income,16.5694,18.514,17.792,16.836,15.606,14.099,Iranian rial
Ireland,IRL,Europe & Central Asia,19,72.6,73,75,74,72,69,High income: OECD,13.4954,11.482,13.095,13.677,14.41,14.813,Euro
Israel,ISR,Middle East & North Africa,28,61.2,64,61,60,61,60,High income: OECD,6.7,6.5,6.5,6.5,7,7,Israeli new shekel
Italy,ITA,Europe & Central Asia,60,43.8,47,44,43,43,42,High income: OECD,10.705,9.612,11.012,11.285,11.064,10.552,Euro
Jamaica,JAM,Latin America & Caribbean,83,38.8,39,41,38,38,38,Upper middle income,13,13,13,13,13,13,Jamaican dollar
Japan,JPN,East Asia & Pacific,20,74.2,72,75,76,74,74,High income: OECD,4.431,4.316,4.379,4.524,4.424,4.512,Japanese yen
